orth phon sense pos gender asp dic_name usg etym_lang
авеню АВЕН'Ю " Широкая улица, проспект.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None фр.
авеста АВ'ЕСТА " Собрание священных книг некоторых древних народов Средней Азии, Азербайджана, Ирана и Афганистана, содержащих религиозные и юридические предписания, молитвенные песнопения и т.п.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
авиабаза АВИАБ'АЗА " Аэродром, прилегающие к нему здания и сооружения, а также подразделения, обеспечивающие действия авиации.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
авиабомба АВИАБ'ОМБА " Бомба, которую сбрасывают с самолёта.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
авиакатастрофа АВИАКАТАСТР'ОФА " Катастрофа, происшедшая во время полёта самолёта, вертолёта.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
авиалиния АВИАЛ'ИНИЯ " Постоянный маршрут транспортных самолётов между какими-л. населёнными пунктами; воздушное пространство, в пределах которого находится такой маршрут; авиатрасса.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
авиамодель АВИАМОД'ЕЛЬ " (технический вид спорта, включающий в себя создание летательных аппаратов и соревнования по управлению ими в полёте).  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
авиапочта АВИАП'ОЧТА " Способ доставки почтовых отправлений с помощью самолётов и вертолётов.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
авиатрасса АВИАТР'АССА " =Авиалиния.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
авиация АВИ'АЦИЯ " Теория и практика передвижения в воздушном пространстве на летательных аппаратах тяжелее воздуха.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None фр.
авоська АВ'ОСЬКА " Сетчатая сумка для продуктов, мелких предметов и т.п.; сетка.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аврора АВР'ОРА " богиня утренней зари  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автаркия; АВТ'АРКИЯ; " Экономическая политика, направленная на обособление национального или регионального хозяйства, создание замкнутой, самообеспечивающейся экономики.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
автобаза АВТОБ'АЗА " Транспортное предприятие для организации перевозок на автомобилях с местом для их стоянки и ремонтными мастерскими.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автобиографичный АВТОБИОГРАФ'ИЧНЫЙ " Содержащий элементы автобиографии.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автобиография АВТОБИОГР'АФИЯ " Описание своей жизни.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автоблокировка АВТОБЛОКИР'ОВКА " Система регулирования движения поездов на перегонах по сигналам автоматических светофоров.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автовышка АВТОВ'ЫШКА " Автомобиль с поднимающейся площадкой, используемый при покраске зданий, ремонте осветительной аппаратуры на улицах и т.п.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автогравюра АВТОГРАВ'ЮРА " Гравюра, отпечатанная с доски, гравированной самим автором рисунка.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автозаправка АВТОЗАПР'АВКА " Заправка топливом, смазочными маслами и т.п. транспортных средств.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автоинспекция АВТОИНСП'ЕКЦИЯ " Надзор за соблюдением правил дорожного движения; государственный орган, осуществляющий этот надзор.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автоирония АВТОИР'ОНИЯ " Ирония по отношению к самому себе  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автокатострофа АВТОКАТОСТР'ОФА " Автомобильная катастрофа, тяжёлая автомобильная авария.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автокефалия АВТОКЕФ'АЛИЯ " Независимая самостоятельная церковь православной веры  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
автоколонна АВТОКОЛ'ОННА " Колонна машин  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автократия АВТОКР'АТИЯ " Форма правления, при которой одному лицу принадлежит неограниченная верховная власть; самодержавие, абсолютизм.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" книжн. греч.
автолавка АВТОЛ'АВКА " =Автомагазин  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автолитография АВТОЛИТОГР'АФИЯ " Литография с рисунка, выполненного на камне самим автором-художником.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автомагистраль АВТОМАГИСТР'АЛЬ " Дорога для скоростного движения автомобилей.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автомагнитола АВТОМАГНИТ'ОЛА " Магнитола для прослушивания магнитофонных записей в автомобиле.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автоматизация АВТОМАТИЗ'АЦИЯ " и автоматических систем управления в целях повышения эффективности производства.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автоматизированный АВТОМАТИЗ'ИРОВАННЫЙ " =Автоматический.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автоматика АВТОМ'АТИКА " Отрасль науки и техники, разрабатывающая методы и средства автоматизации производственных процессов.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автоматичный АВТОМАТ'ИЧНЫЙ " =Автоматический  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автомашина АВТОМАШ'ИНА " =Автомобиль.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автометрия АВТОМЕТР'ИЯ " Научная дисциплина, изучающая теоретические основы проектирования автоматических измерительных приборов и информационных систем, а также приборов, контролирующих их действие.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
автомобилизация АВТОМОБИЛИЗ'АЦИЯ " Оснащённость населения автомобилями.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автомотриса АВТОМОТР'ИСА " Железнодорожный (пассажирский или служебный) вагон с собственным двигателем; автовагон.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None фр.
автономия АВТОН'ОМИЯ " Право самостоятельно решать дела внутреннего законодательства и управления; самоуправление.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
автономный АВТОН'ОМНЫЙ " Пользующийся, обладающий автономией; самоуправляющийся.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автопоилка АВТОПО'ИЛКА " Устройство для поения скота с автоматической подачей воды.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
авторитарный АВТОРИТ'АРНЫЙ " Основанный на беспрекословном подчинении власти, авторитету.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None фр.
авторитетный АВТОРИТ'ЕТНЫЙ " Пользующийся авторитетом.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
авторучка АВТОР'УЧКА " Ручка для письма, в которой чернила подаются к перу автоматически. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автостанция АВТОСТ'АНЦИЯ " Транспортное предприятие по перевозке грузов с помощью автомобильного транспорта.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автостоянка АВТОСТО'ЯНКА " Место, отведённое для стоянки автотранспорта.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автострада АВТОСТР'АДА " =Автомагистраль.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None итал.
автосцепка АВТОСЦ'ЕПКА " Устройство для автоматической сцепки вагонов.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автотележка АВТОТЕЛ'ЕЖКА " =Автокар.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автотипия АВТОТ'ИПИЯ " Оттиск, изготовленный этим способом.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
автотрасса АВТОТР'АССА " Автомобильная дорога.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автохарактеристика АВТОХАРАКТЕР'ИСТИКА " Характеристика, данная автором или героем литературного произведения самому себе.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
автошкола АВТОШК'ОЛА " Учебное заведение, готовящее водителей автомобилей.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агава АГ'АВА " Травянистое тропическое растение сем. агавовых с жёсткими крупными листьями  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
агафья АГ'АФЬЯ " Каноническое женское имя.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
агглютинация АГГЛЮТИН'АЦИЯ " Склеивание в комочки и выпадение из взвеси в осадок частиц  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аггравация АГГРАВ'АЦИЯ " Преувеличение больным симптомов действительно имеющегося заболевания.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агентура АГЕНТ'УРА " Разведывательная служба, организуемая с целью сбора секретных сведений и осуществления подрывной деятельности.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агиография АГИОГР'АФИЯ " Вид христианской литературы, содержащий жизнеописания святых.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
агитация АГИТ'АЦИЯ " Устная или печатная деятельность  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агитбригада АГИТБРИГ'АДА " небольшой самодеятельный или профессиональный коллектив, занимающийся агитационной и культурно-просветительской работой среди населения.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агитка АГ'ИТКА " Литературное, живописное и т.п. произведение, преследующее агитационные, пропагандистские цели.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агломерация АГЛОМЕР'АЦИЯ " Получение крупных кусков из рыхлых мелких руд, пылевидных материалов путём спекания.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агнозия; АГН'ОЗИЯ; " Нарушение процессов узнавания вследствие поражения коры головного мозга  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
агония АГ'ОНИЯ " О последней стадии существования чего-л.; о состоянии упадка, хаоса где-л.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
агорафобия АГОРАФ'ОБИЯ " Болезненное состояние, проявляющееся в боязни открытого пространства.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
агрессивный АГРЕСС'ИВНЫЙ " к Агр'ессия.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агрессия АГР'ЕССИЯ " Вооружённое нападение государства или нескольких государств на какое-л. государство с целью захвата его территории, уничтожения или ограничения его независимости, изменения его политического или общественного строя и т.п.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агробиолог АГРОБИ'ОЛОГ " Наука об общих биологических закономерностях, действующих в земледелии, животноводстве и возможностях их использования в сельскохозяйственном производстве.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агрокультура; АГРОКУЛЬТ'УРА; " Совокупность приёмов и мероприятий по улучшению техники полеводства, культуры земледелия.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агрометеорология АГРОМЕТЕОРОЛ'ОГИЯ " Область метеорологии, изучающая метеорологические, климатические и гидрологические условия, влияющие на развитие сельского хозяйства.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агрономия АГРОН'ОМИЯ " Комплексная наука о возделывании сельскохозяйственных культур; совокупность знаний по отраслям сельскохозяйственного производства.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
агротехника АГРОТ'ЕХНИКА " Система приёмов возделывания сельскохозяйственных культур; технология земледелия.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агрофизика АГРОФ'ИЗИКА " Наука о физических методах исследования условий жизни растений и их жизнедеятельности, возможностях физического воздействия на почву и воздух в процессе сельскохозяйственного производства.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агрофирма АГРОФ'ИРМА " Предприятие по производству, переработке и продаже сельскохозяйственной продукции.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агрохимия АГРОХ'ИМИЯ " Наука о химических и биохимических процессах, протекающих в почве или в растениях, их питании, удобрении и средствах защиты от вредителей в целях повышения урожайности сельскохозяйственных культур.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
агроэкология АГРОЭКОЛ'ОГИЯ " Раздел экологии, изучающий влияние сельскохозяйственного производства на состояние окружающей среды.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
адаптация АДАПТ'АЦИЯ " Приспособление органов чувств и организма в целом к новым, изменившимся условиям существования.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
адвербиализация АДВЕРБИАЛИЗ'АЦИЯ " Переход слов других частей в разряд наречий.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
адвокатура АДВОКАТ'УРА " Деятельность адвоката.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
адекватный АДЕКВ'АТНЫЙ " (о ребёнке с такими реакциями, понятиями).  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аденома АДЕН'ОМА " Доброкачественная опухоль молочной, щитовидной, предстательной и других желез.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
аджика АДЖ'ИКА " Острая ароматная приправа к мясным и рыбным блюдам.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
адинамия АДИНАМ'ИЯ " Снижение двигательной активности человека в результате голодания, длительной болезни и т.п.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
администрация АДМИНИСТР'АЦИЯ " Исполнительные и распорядительные органы управления, власти в государстве.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
адмиральша АДМИР'АЛЬША " Жена адмирала.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
адсорбция АДС'ОРБЦИЯ " Поглощение частиц газа или растворённого вещества поверхностным слоем жидкого или твёрдого вещества  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
адъективация АДЪЕКТИВ'АЦИЯ " Переход слов других частей речи в разряд прилагательных.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
адъюнктура АДЪЮНКТ'УРА " Аспирантура высших военных учебных и научно-исследовательских учреждений. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
ажитация АЖИТ'АЦИЯ " Возбуждённое состояние, волнение.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None фр.
ажурный АЖ'УРНЫЙ " Сквозной, сетчатый.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
азалия АЗ'АЛИЯ " Южный кустарник сем. вересковых, с крупными цветками различной окраски.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
азартный АЗ'АРТНЫЙ " Игры, в которых выигрыш зависит только от случайности, а не от умения игрока  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
азбука 'АЗБУКА " Русский алфавит, созданный на основе древнеславянского письма - кириллицы  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
азбука 'АЗБУКА " Книга или таблица, набор карточек, игра и т.п., служащие для первого знакомства с буквами этого алфавита или начального обучения грамоте.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
азбука 'АЗБУКА " Основные, простейшие положения какой-л. науки, системы знаний и т.п.; первоосновы какой-л. деятельности; азы.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
азбучный 'АЗБУЧНЫЙ " к 'Азбука  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
азия 'АЗИЯ " Самая большая часть света, составляющая вместе с Европой материк Евразию.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аистиха АИСТ'ИХА " Самка аиста.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
айва АЙВ'А " Южное плодовое дерево сем. розоцветных с ароматными жёлтыми, кисловато-терпкими плодами похожими по форме на яблоко или грушу; плод такого дерева.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None тюрк.
академичный АКАДЕМ'ИЧНЫЙ " =Академический  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
академия АКАД'ЕМИЯ " Название научных учреждений, задачей которых является развитие наук или искусств.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
академка АКАД'ЕМКА " Академический отпуск.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
акарология АКАРОЛ'ОГИЯ " Раздел зоологии, изучающий клещей.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
акация АК'АЦИЯ " Название нескольких видов деревьев и кустарников сем. бобовых.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
акваметрия; АКВАМ'ЕТРИЯ; " Определение количественного содержания воды в составе различных веществ.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
акванавтика АКВАН'АВТИКА " Наука, занимающаяся изучением возможностей длительного пребывания человека под водой. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
акварель АКВАР'ЕЛЬ " Искусственный водоём или стеклянный сосуд для содержания и разведения рыб, водных животных и растений.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None итал.
акватинта АКВАТ'ИНТА " Гравюра на металле, передающая неодинаковую тональность изображаемого с помощью смоляной пыли; рисунок, выполненный таким способом.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None итал.
акватория АКВАТ'ОРИЯ " Водная поверхность чего-л., участок моря, водохранилища или порта в установленных границах.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аккламация АККЛ'АМАЦИЯ " Принятие или отклонение собранием какого-л. устного предложения без голосования.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
акклиматизация АККЛИМАТИЗ'АЦИЯ " Приспособление человека, животных и растений к новым климатическим и другим природным условиям; акклиматизирование.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
акколада АККОЛ'АДА " один из моментов обряда посвящения в рыцари  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None фр.
аккомодация АККОМОД'АЦИЯ " (способность глаза приспособляться к рассматриванию предметов на различных расстояниях).  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аккуратный АККУР'АТНЫЙ " Склонный к чистоте и порядку; чистоплотный, опрятный.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аконтактность АКОНТ'АКТНОСТЬ " Отсутствие контакта, взаимопонимания или взаимного интереса между людьми.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
акробатика АКРОБ'АТИКА " Вид циркового искусства, состоящего в исполнении сложных  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
акселерация АКСЕЛЕР'АЦИЯ " Ускорение роста и полового созревания детей и подростков по сравнению с предшествующими поколениями  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аксинья АКС'ИНЬЯ " к Ксения.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
аксиология АКСИОЛ'ОГИЯ " Философское учение о моральных, этических, культурных и т.п. ценностях, общезначимых принципах, определяющих направленность человеческой деятельности, мотивацию человеческих поступков; теория ценностей.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
аксиома АКСИ'ОМА " Положение, принимаемое без доказательств в качестве исходного, отправного для данной теории.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
аксиоматика АКСИОМ'АТИКА " Совокупность аксиом, лежащих в основе той или иной науки.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
активация АКТИВ'АЦИЯ " Возбуждение или усиление активности  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
активность АКТ'ИВНОСТЬ " Деятельное участие в чём-л., энергичная деятельность;  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
активный АКТ'ИВНЫЙ " Деятельный, энергичный  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
актиния АКТ'ИНИЯ " Морское кишечнополостное животное класса коралловых полипов с щупальцами для захватывания пищи; морская анемона. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
актуализация АКТУАЛИЗ'АЦИЯ " к Актуализировать и Актуализироваться.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
актуальный АКТУ'АЛЬНЫЙ " Важный, существенный для настоящего момента; злободневный, насущный.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
акула АК'УЛА " О том, кто крупно наживается на эксплуатации, беззастенчивом присвоении чужого труда.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None норв.
акулина АКУЛ'ИНА " Женское имя.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
акупрессура АКУПРЕСС'УРА " Точечный массаж, путём воздействия на биологически активные точки  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
акупунктура АКУПУНКТ'УРА " Метод лечения уколами специальных металлических игл различной длины в определённые точки тела; иглоукалывание; иглотерапия.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
акустика АК'УСТИКА " Раздел физики, изучающий упругие волны от самых низких до самых высоких частот  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
акушерка АКУШ'ЕРКА " Женщина со средним медицинским образованием, имеющая право самостоятельно оказывать помощь при родах.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
акцентология АКЦЕНТОЛ'ОГИЯ " Раздел языкознания, изучающий систему ударения в каком-л. языке или группе языков  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
акцентуация АКЦЕНТУ'АЦИЯ " Выделение элементов слова или фразы посредством ударения.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
акциденция АКЦИД'ЕНЦИЯ " Случайное, преходящее, несущественное свойство, состояние предмета  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
акция 'АКЦИЯ " Снижается значение, влияние кого-, чего-л.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None фр.
акция 'АКЦИЯ " Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели; акт.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None фр.
алгебра 'АЛГЕБРА " Раздел математики, изучающий общие приёмы действий над величинами  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None араб.
алгоритмизация АЛГОРИТМИЗ'АЦИЯ " Составление алгоритма работы, задачи; программирование.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
алебарда АЛЕБ'АРДА " Старинное холодное оружие в виде топорика или секиры на длинном древке, заканчивающееся копьём.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
